Country,corona,population
China,80790,1439323776
S_Korea,7755,51269185
Iran,9000,83992949
Italy,10149,60461826
Gernamy,1629,83783942
France,1784,65273511
Japan,587,126476461
Spain,2188,46754778
US,1016,331002651
Switzerland,652,8654622
UK,167,67886011
Sweden,137,10099265
Singapure,130,5850342
Netherlands,503,17134872
Belgium,314,11589623
Malaysia,83,32365999
Austria,206,9006398
Australia,127,25499884
Kuwait,58,4270571
Canada,99,37742154
Bahrain,49,1701575
Thailand,48,69799978
Iceland,85,341243
UAE,74,34813871
Iraq,44,40222493
Greece,99,10423054
India,31,1380004385
San Marino,62,33931
Denmark,23,5792202
Lebanon,22,6825445
Finland,19,5540720
Israel,79,8655535
Ireland,18,4937786
Algeria,17,43851044
Viet Nam,17,97338579
Palestina,16,5101414
Oman,16,5106626
Ecuador,14,17643054
Brazil,13,212559417
Portugal,13,10196709
Czech Republic,75,10708981
Croatia,11,4105267
Qatar,262,2881053
Estonia,13,1326535
Hong Kong,126,7478311
Lithuania,36,2500000
