date,cases,active
2020-02-27,2
2020-03-01,4
2020-03-04,5
2020-03-07,6
2020-03-10,16
2020-03-12,20
2020-03-13,21
2020-03-15,30
2020-03-16,31
2020-03-17,187
2020-03-19,302
2020-03-20,478
2020-03-21,495
2020-03-22,646
2020-03-23,784
2020-03-24,887
2020-03-25,991
2020-03-26,1057
2020-03-27,1197
2020-03-29,1408
2020-03-30,1526
2020-03-31,1625
2020-04-01,2039
2020-04-02,2291
2020-04-04,2450,0
2020-04-05,3277,2970
2020-04-06,3864,3381
2020-04-07,4072,3547
2020-04-08,4322,3687
2020-04-09,4601,3808
2020-04-10,4788,3955
2020-04-11,5038,3926
2020-04-12,5374,4186
2020-04-13,5707,4514
2020-04-14,5988,4435
2020-04-15,6505,4736,124.0
2020-04-16,7025,5125,135.0
2020-04-17,7481,5506,143.0
2020-04-18,7993,5966,159.0
2020-04-19,8348,6312,168.0
2020-04-20,9216,6958,192.0
2020-04-21,9749,7384,209.0
2020-04-22,10513,7952,224.0
2020-04-23,11155,8391,237.0
2020-04-24,11940,8932,253.0
2020-04-25,12723,9588,269.0
2020-04-26,13328,10018,281.0
2020-04-27,14079,10545,301.0
2020-04-28,14885,11133,327.0
2020-04-29,15759,11361,346.0
2020-04-30,16817,12117,385.0
2020-05-01,18114,12982,417.0
2020-05-02,19103,13846,440.0
2020-05-03,20186,14134,462.0
2020-05-04,21501,15233,486.0
2020-05-05,22550,15807,526.0
2020-05-06,24073,17045,564.0
2020-05-07,25837,17713,594.0
2020-05-08,27474,19100,618.0
2020-05-09,29465,20803,639.0
2020-05-10,30941,22062,667.0
2020-05-11,32081,22820,706.0
