Country,Tests Performed ,Tests per Million People ,Population,Approved
Bahrain,8354,4910,1701575,OFFICIAL
South Korea,210144,4099,51269185,OFFICIAL
Hong Kong,16000,2134,7496981,Estimated
Estia,0,1927,0,OFFICIAL
Latvia,0,1394,0,OFFICIAL
Italy,60761,1005,60461826,OFFICIAL
Switzerland,5000,578,8654622,Estimated
Austria,5026,558,9006398,OFFICIAL
UK,26261,387,67886011,OFFICIAL
Lithuania,1097,386,2800000,OFFICIAL
Belgium,3984,344,11589623,Estimated
Australia,8278,325,25499884,Estimated
Israel,2386,276,8655535,Estimated
France,11895,182,65273511,Estimated
Finland,720,130,5540720,OFFICIAL Mar. 10
Malaysia,3132,97,32365999,OFFICIAL Mar. 10
Japan,9600,76,126476461,OFFICIAL Mar. 10
Netherlands,600,35,17134872,Estimated
USA,8554,26,331002651,OFFICIAL Mar. 10
Vietnam,2367,24,97338579,OFFICIAL Mar. 10
Turkey,940,11,84339067,Estimated
